timestamp,true_z,est_z,z_error,covariance_scale_factor,noise_gate_active
6.485000,0.000000,0.060098,-0.060098,0.761905,0
6.487500,0.000000,0.049218,-0.049218,0.761905,0
6.490000,0.000000,0.065541,-0.065541,0.761905,0
6.492500,0.000000,0.045530,-0.045530,0.761905,0
6.495000,0.000000,0.048177,-0.048177,0.761905,0
6.497500,0.000000,0.036908,-0.036908,0.761905,0
6.500000,0.000000,0.035734,-0.035734,0.920635,0
6.502500,0.000000,0.040891,-0.040891,0.920635,0
6.505000,0.000000,0.049238,-0.049238,0.920635,0
6.507500,0.000000,0.047209,-0.047209,0.920635,0
6.510000,0.000000,0.052959,-0.052959,0.920635,0
6.512500,0.000000,0.045144,-0.045144,0.920635,0
6.515000,0.000000,0.046113,-0.046113,0.920635,0
6.517500,0.000000,0.054210,-0.054210,0.920635,0
6.520000,0.000000,0.055779,-0.055779,0.888889,0
6.522500,0.000000,0.048881,-0.048881,0.888889,0
6.525000,0.000000,0.044639,-0.044639,0.888889,0
6.527500,0.000000,0.053200,-0.053200,0.888889,0
6.530000,0.000000,0.040857,-0.040857,0.888889,0
6.532500,0.000000,0.030334,-0.030334,0.888889,0
6.535000,0.000000,0.035294,-0.035294,0.888889,0
6.537500,0.000000,0.029889,-0.029889,0.888889,0
6.540000,0.000000,0.014694,-0.014694,0.888889,0
6.542500,0.000000,0.027121,-0.027121,0.920635,0
6.545000,0.000000,0.015812,-0.015812,0.920635,0
6.547500,0.000000,0.013430,-0.013430,0.920635,0
6.550000,0.000000,0.007098,-0.007098,0.920635,0
6.552500,0.000000,0.004033,-0.004033,0.920635,0
6.555000,0.000000,-0.004568,0.004568,0.920635,0
6.557500,0.000000,0.002424,-0.002424,0.920635,0
6.560000,0.000000,0.003414,-0.003414,0.920635,0
6.562500,0.000000,0.012766,-0.012766,0.920635,0
